start_seconds,sensor,frames,mean_alignment_error_deg,p95_alignment_error_deg
242.5,RightForeArm,2400,0.5041999432583226,1.0933951553378072
242.5,LeftLowerLeg,2400,2.299092841209747,4.309009037057669
242.5,RightLowerLeg,2400,2.470848139346574,4.943357469081073
252.5,Pelvis,2400,2.538004654661707,6.447914365776446
252.5,LeftForeArm,2400,0.48090368398298416,1.3766832789682526
252.5,RightForeArm,2400,0.5354281997232009,1.4717474583738424
252.5,LeftLowerLeg,2400,4.1601651817671454,10.08881559934085
252.5,RightLowerLeg,2400,3.9432958172004016,7.785462826674283
262.5,Pelvis,2400,1.404611405359588,2.71015901640271
262.5,LeftForeArm,2400,0.6018327231236975,1.321593385596522
262.5,RightForeArm,2400,0.42885106817283136,0.9613489410788417
262.5,LeftLowerLeg,2400,3.949930463930582,9.523394823928097
262.5,RightLowerLeg,2400,2.3204236193116747,4.414262140493779
272.5,Pelvis,2400,1.2257078423473005,2.6091250219996773
272.5,LeftForeArm,2400,0.39640700348590047,0.9067141212690105
272.5,RightForeArm,2400,0.3951907452993772,0.8314976920167325
272.5,LeftLowerLeg,2400,3.4347235599072548,8.15392840139102
272.5,RightLowerLeg,2400,2.221639039180871,4.845517176745753
282.5,Pelvis,2400,1.7836333628709569,3.7799926606912915
282.5,LeftForeArm,2400,1.1290465476516551,2.2552493288823836
282.5,RightForeArm,2400,1.3429585794399175,2.7263592192170814
282.5,LeftLowerLeg,2400,2.22173289695364,3.6293346783561224
282.5,RightLowerLeg,2400,3.0001209343934505,7.956376787800016
292.5,Pelvis,2400,1.4271968211736101,3.351985558477194
292.5,LeftForeArm,2400,0.7726897323180091,1.7006379233797262
292.5,RightForeArm,2400,1.0796246201200215,2.5256250252369066
292.5,LeftLowerLeg,2400,3.3264948249757222,8.272021465817911
292.5,RightLowerLeg,2400,2.9507959261177077,5.379402388309076
302.5,Pelvis,2400,0.9625516094479243,1.3575727639819892
302.5,LeftForeArm,2400,0.30316782624218175,0.7143727324326555
302.5,RightForeArm,2400,0.49799381072785937,1.362132933217581
302.5,LeftLowerLeg,2400,2.904429294316361,4.4153977383045815
302.5,RightLowerLeg,2400,1.57070008361009,3.1257402535160845
312.5,Pelvis,2400,1.3195724813615888,2.994865525279142
312.5,LeftForeArm,2400,0.2893306365232119,0.7486989774110303
312.5,RightForeArm,2400,0.42602674181368105,1.0806851650809228
312.5,LeftLowerLeg,2400,3.319179179370877,5.4215456875612
312.5,RightLowerLeg,2400,1.8550346253093417,3.031237495522214
322.5,Pelvis,2400,2.138591674262265,3.6926066564297173
322.5,LeftForeArm,2400,0.4654532600822571,1.4683354508649744
322.5,RightForeArm,2400,0.5539869173559879,1.4711451141523357
322.5,LeftLowerLeg,2400,4.018810909852414,7.423084042255507
322.5,RightLowerLeg,2400,3.048206128697122,6.07378756384614
332.5,Pelvis,2400,0.6794519727914441,1.4535219403805697
332.5,LeftForeArm,2400,0.29556925202108214,0.5594206695374472
332.5,RightForeArm,2400,0.3114300838232417,0.588473103559965
332.5,LeftLowerLeg,2400,2.6317054111463047,3.049680561793579
332.5,RightLowerLeg,2400,2.771035340372352,3.1628997887208783
