second,native_frames,left_knee_deg_valid_count,left_knee_deg_min,left_knee_deg_median,left_knee_deg_max,right_knee_deg_valid_count,right_knee_deg_min,right_knee_deg_median,right_knee_deg_max,trunk_tilt_deg_valid_count,trunk_tilt_deg_min,trunk_tilt_deg_median,trunk_tilt_deg_max,pelvis_z_m_valid_count,pelvis_z_m_min,pelvis_z_m_median,pelvis_z_m_max
95,240,240,0.5567265748977661,5.292725086212158,61.22844696044922,240,0.22028693556785583,11.134033203125,53.480506896972656,240,2.5828561782836914,5.291102886199951,8.24571704864502,240,1.0673350095748901,1.0845375061035156,1.1008659601211548
96,240,240,0.3951527178287506,4.8968048095703125,59.353294372558594,240,0.31278666853904724,11.114104270935059,50.4571533203125,240,3.0717952251434326,5.3156328201293945,7.821096420288086,240,1.067736029624939,1.0896389484405518,1.1044479608535767
97,240,240,0.21939688920974731,3.855492115020752,62.480655670166016,240,2.663886308670044,11.958492279052734,50.02454376220703,240,4.1665449142456055,7.6621503829956055,11.070460319519043,240,1.0658869743347168,1.088712453842163,1.1103630065917969
98,240,240,0.7659170031547546,8.382421493530273,60.934974670410156,240,0.5326577425003052,9.738399505615234,50.88819122314453,240,1.7023786306381226,3.467916965484619,8.69271469116211,240,1.063025951385498,1.0856714248657227,1.1030100584030151
99,240,240,0.5914912819862366,9.571502685546875,60.63159942626953,240,0.22381176054477692,10.616878509521484,52.502838134765625,240,3.3002548217773438,5.756752014160156,7.3499627113342285,240,1.0622279644012451,1.0830944776535034,1.1023290157318115
100,240,240,0.23903107643127441,9.815044403076172,60.556636810302734,240,0.4044516980648041,13.19006633758545,50.666160583496094,240,0.40782424807548523,2.960348606109619,7.096635341644287,240,1.0643420219421387,1.0867249965667725,1.1094019412994385
101,240,240,1.2246123552322388,10.69051456451416,61.2923583984375,240,0.34661510586738586,15.229438781738281,52.30948257446289,240,0.24866034090518951,2.7540283203125,5.714774131774902,240,1.0745209455490112,1.0978754758834839,1.113176941871643
102,240,240,3.620175838470459,7.501509189605713,52.159210205078125,240,0.39958447217941284,15.644976615905762,49.90635299682617,240,2.1282644271850586,4.9429192543029785,8.615478515625,240,1.078909993171692,1.098695993423462,1.1149590015411377
103,240,240,5.6148905754089355,23.153432846069336,52.164798736572266,240,1.2174004316329956,15.724735260009766,24.3772029876709,240,2.1364333629608154,3.0103187561035156,8.285222053527832,240,1.0828670263290405,1.0903480052947998,1.0963820219039917
104,240,240,0.1312212198972702,3.180107593536377,28.84840202331543,240,0.06255725026130676,16.87810516357422,49.83671951293945,240,6.244849681854248,8.017679214477539,10.449638366699219,240,1.0712480545043945,1.0882689952850342,1.094897985458374
105,240,240,0.7519945502281189,5.14335823059082,58.15034103393555,240,4.70382022857666,10.188718795776367,53.06724548339844,240,2.9004976749420166,5.1642374992370605,7.131655693054199,240,1.0666899681091309,1.0874290466308594,1.1010849475860596
