source,subject_id,region,setting,start_frame,end_frame_exclusive,duration_seconds,annotation_status,status,mean_error_deg,valid_frames,total_frames,entry_error_deg,late_error_deg,retention_delta_deg,correct_entry,sustained_failure,failure_all,retention_failure_given_correct_entry,false_standing
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,reference_smoothed_1s_5,1803,2097,4.9,candidate_not_reviewed,evaluated,4.467603390489428,294,294,4.3075745732761295,4.359872155219955,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,reference_smoothed_1s_5,2467,2693,3.7666666666666666,candidate_not_reviewed,evaluated,5.457745492090069,226,226,4.874000155229549,6.523956372560659,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,reference_smoothed_1s_5,2897,3019,2.033333333333333,candidate_not_reviewed,evaluated,5.740785853854473,122,122,6.311812184651603,5.142635446715707,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,reference_smoothed_1s_5,3106,3332,3.7666666666666666,candidate_not_reviewed,evaluated,5.763269480379413,226,226,5.120172441562153,7.270449508411317,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,reference_smoothed_1s_5,3799,3971,2.8666666666666667,candidate_not_reviewed,evaluated,3.745228699200063,172,172,4.486859419911509,3.2365370067700403,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,reference_smoothed_1s_5,5110,5237,2.1166666666666667,candidate_not_reviewed,evaluated,7.191070250588382,127,127,7.244718913923708,7.13129904019749,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,trunk,reference_smoothed_1s_5,5619,5845,3.7666666666666666,candidate_not_reviewed,evaluated,5.044840414314059,226,226,5.964115414026031,4.103870648486926,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,reference_smoothed_1s_5,1232,1458,3.7666666666666666,candidate_not_reviewed,evaluated,13.934408433919659,226,226,14.297279831072062,13.688980018374764,,False,False,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,reference_smoothed_1s_5,1803,2097,4.9,candidate_not_reviewed,evaluated,17.28530113808051,294,294,17.552329940792028,17.102129496111782,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,reference_smoothed_1s_5,2467,2693,3.7666666666666666,candidate_not_reviewed,evaluated,19.627148126344338,226,226,15.916569860889076,20.847072306110547,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,reference_smoothed_1s_5,2897,3019,2.033333333333333,candidate_not_reviewed,evaluated,22.35558157128162,122,122,21.663340516730255,22.99086589463243,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,reference_smoothed_1s_5,3106,3318,3.533333333333333,candidate_not_reviewed,evaluated,31.600795198136343,212,212,34.42503348195025,32.333415719022106,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,reference_smoothed_1s_5,3789,3971,3.033333333333333,candidate_not_reviewed,evaluated,16.58041529691793,182,182,16.890727892144373,16.444127007791327,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,reference_smoothed_1s_5,5014,5237,3.716666666666667,candidate_not_reviewed,evaluated,36.36062074461657,223,223,38.35198826909211,35.90554026925426,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,lower_body,reference_smoothed_1s_5,5619,5845,3.7666666666666666,candidate_not_reviewed,evaluated,34.71828035495624,226,226,35.79353461836395,30.87411438592121,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/01_a.pkl,s_08,lower_body,raw_10,4590,4805,3.5833333333333335,candidate_not_reviewed,evaluated,3.4395324249551384,215,215,3.3438273512979833,3.9015084595566383,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/01_a.pkl,s_08,lower_body,raw_15,911,1044,2.216666666666667,candidate_not_reviewed,evaluated,3.6300269116629797,133,133,3.562725638848642,3.703958072482479,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/01_a.pkl,s_08,lower_body,raw_15,4025,4180,2.5833333333333335,candidate_not_reviewed,evaluated,4.349396088121329,155,155,4.616445483334526,4.396970608361028,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/01_a.pkl,s_08,lower_body,raw_15,4590,4805,3.5833333333333335,candidate_not_reviewed,evaluated,3.4395324249551384,215,215,3.3438273512979833,3.9015084595566383,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/01_a.pkl,s_08,lower_body,reference_smoothed_1s_5,900,1044,2.4,candidate_not_reviewed,evaluated,3.613592176907277,144,144,3.5183759499192226,3.703958072482479,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/01_a.pkl,s_08,lower_body,reference_smoothed_1s_5,4025,4180,2.5833333333333335,candidate_not_reviewed,evaluated,4.349396088121329,155,155,4.616445483334526,4.396970608361028,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/01_a.pkl,s_08,lower_body,reference_smoothed_1s_5,4590,4805,3.5833333333333335,candidate_not_reviewed,evaluated,3.4395324249551384,215,215,3.3438273512979833,3.9015084595566383,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/01_b.pkl,s_08,lower_body,raw_10,3604,3725,2.0166666666666666,candidate_not_reviewed,evaluated,3.2748704147292003,121,121,3.3930869795727907,3.15872810922837,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/01_b.pkl,s_08,lower_body,raw_15,3597,3725,2.1333333333333333,candidate_not_reviewed,evaluated,3.250442205254999,128,128,3.34448280513349,3.15872810922837,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/01_b.pkl,s_08,lower_body,reference_smoothed_1s_5,1471,1593,2.033333333333333,candidate_not_reviewed,evaluated,4.054427482183651,122,122,3.919791516088318,4.197830208948457,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/01_b.pkl,s_08,lower_body,reference_smoothed_1s_5,3597,3725,2.1333333333333333,candidate_not_reviewed,evaluated,3.250442205254999,128,128,3.34448280513349,3.15872810922837,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,raw_5,5184,5324,2.3333333333333335,candidate_not_reviewed,evaluated,7.50949274784292,140,140,7.545455290534103,7.479165972098594,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,raw_5,5184,5324,2.3333333333333335,candidate_not_reviewed,evaluated,19.025569702904804,140,140,18.93537717014765,19.11054631178371,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,raw_10,4597,4732,2.25,candidate_not_reviewed,evaluated,8.039556532186536,135,135,7.673644759802353,8.329254534843347,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,raw_10,5184,5324,2.3333333333333335,candidate_not_reviewed,evaluated,7.50949274784292,140,140,7.545455290534103,7.479165972098594,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,raw_10,4597,4737,2.3333333333333335,candidate_not_reviewed,evaluated,17.196915055234655,140,140,17.318066742548393,17.02065720770498,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,raw_10,5184,5324,2.3333333333333335,candidate_not_reviewed,evaluated,19.025569702904804,140,140,18.93537717014765,19.11054631178371,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,raw_15,4597,4732,2.25,candidate_not_reviewed,evaluated,8.039556532186536,135,135,7.673644759802353,8.329254534843347,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,raw_15,5184,5324,2.3333333333333335,candidate_not_reviewed,evaluated,7.50949274784292,140,140,7.545455290534103,7.479165972098594,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,raw_15,2769,2892,2.05,candidate_not_reviewed,evaluated,11.73531413040363,123,123,11.387569551757469,12.080948333815359,,False,False,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,raw_15,4597,4737,2.3333333333333335,candidate_not_reviewed,evaluated,17.196915055234655,140,140,17.318066742548393,17.02065720770498,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,raw_15,5184,5324,2.3333333333333335,candidate_not_reviewed,evaluated,19.025569702904804,140,140,18.93537717014765,19.11054631178371,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,reference_smoothed_1s_5,2769,2892,2.05,candidate_not_reviewed,evaluated,2.5690796155066624,123,123,2.434143910972718,2.7012151401342575,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,reference_smoothed_1s_5,4597,4725,2.1333333333333333,candidate_not_reviewed,evaluated,8.06628208323481,128,128,7.673644759802353,8.428332252253842,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,trunk,reference_smoothed_1s_5,5184,5324,2.3333333333333335,candidate_not_reviewed,evaluated,7.50949274784292,140,140,7.545455290534103,7.479165972098594,,True,False,False,False,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,reference_smoothed_1s_5,2769,2892,2.05,candidate_not_reviewed,evaluated,11.73531413040363,123,123,11.387569551757469,12.080948333815359,,False,False,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,reference_smoothed_1s_5,4597,4723,2.1,candidate_not_reviewed,evaluated,17.296045544963548,126,126,17.318066742548393,17.269367671184728,,False,True,True,,not_inferred_from_angle_error
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_08/05.pkl,s_08,lower_body,reference_smoothed_1s_5,5184,5324,2.3333333333333335,candidate_not_reviewed,evaluated,19.025569702904804,140,140,18.93537717014765,19.11054631178371,,False,True,True,,not_inferred_from_angle_error
