start_seconds,frames,lower_mean_error_deg,delay_aligned_lower_error_deg,predicted_knee_bend_mean_deg,reference_knee_bend_mean_deg,left_hip_error_deg,right_hip_error_deg,left_knee_error_deg,right_knee_error_deg
620.0,600,32.50060122378252,32.503124009277904,70.73156432995417,97.5592995382455,44.09625828265955,14.483580915454246,48.888655845156585,22.53390985185971
630.0,600,32.680869038964644,32.67609131561078,71.27602322847655,97.462566448951,44.21632735928022,15.14013788739108,49.151642017115,22.215368892072284
640.0,600,32.79867067443044,32.80438324121598,72.83799013378064,97.38896605944507,45.05109642689605,15.418160087356576,48.72040982000954,22.005016363459593
650.0,600,32.41994528356119,32.41674684608537,71.76764601086899,97.30622883067117,43.802715110462536,15.497305626749263,48.38913904630823,21.990621350724723
660.0,600,32.19427752797837,32.198873045996216,70.7999750609513,97.29557856848392,41.285485083554484,16.122603503742653,49.05479091306289,22.314230611553448
670.0,600,32.14438372131947,32.150630526408,71.04006672382265,97.27457682735515,41.102343809382276,16.16669208048902,49.22252532578772,22.08597366961886
680.0,600,32.54747394584984,32.536468543787535,72.41049548912245,97.23848949057643,42.59585577073634,16.555268968552614,48.18737225844755,22.851398785662845
690.0,600,32.32174655875939,32.333574866425685,73.56290797488657,97.22825825729895,43.39818169092925,15.535229414293669,47.65720460652548,22.696370523289147
700.0,600,32.471087048759024,32.410299091934384,70.92136525393681,97.59712103144322,44.127188707525,14.851295705591564,47.623597936460946,23.282265845458593
710.0,600,32.07759060754311,32.11264034450826,68.42200995101001,95.72409674417145,43.416288644824355,17.171326427040384,44.16052563545882,23.56222172284886
720.0,600,33.66860151319681,33.676078473300166,68.84469616020095,95.61475501282847,43.56222206408112,17.654632484510948,46.380691005370245,27.076860498824953
730.0,600,33.52777703536358,33.52913856840069,69.38730069130207,95.63798506229648,43.20755288866355,17.43170437606316,46.53226336154728,26.93958751518033
740.0,600,33.62522372396481,33.622603815681146,69.90291249936757,95.67102267154237,43.29273341233815,18.032004071620527,46.08990279333273,27.086254618567814
750.0,600,33.64602195962833,33.62101038403285,70.09482365157693,95.75024738542656,43.91371830509677,18.106503680690334,45.653072396479665,26.91079345624655
760.0,600,33.14079266575484,33.15530976404555,70.8690581636404,95.39841570478897,44.45327714242951,17.971811020090065,46.232134287272515,23.90594821322728
770.0,600,33.51941617549976,33.52878041828973,68.15867325600634,95.39340666481023,41.90729511435675,18.292011433593604,47.041465407874796,26.83689274617387
780.0,600,33.5803817166048,33.57815303942533,71.13097765241221,95.12662839244432,43.5632342073566,18.30779121768627,45.13228473390011,27.318216707476214
790.0,600,33.39625006929394,33.39719727562981,70.91904578187227,95.15940330137805,42.96704916487724,18.560644925600823,44.86286647154279,27.194439715154893
800.0,600,32.79065070839081,32.79120573348746,70.12113099940589,95.10935565447599,41.65729717926041,18.06442786151,45.44106619305628,25.99981159973654
810.0,600,33.05260375039439,33.05229721270101,70.08317419738901,95.10003330767661,41.60002126491778,18.29208560257041,45.9539941071792,26.364314026910183
820.0,600,32.84061618479755,32.840304657919376,69.83025725523854,95.01034179887097,40.957543173583375,18.73265341048355,45.83908181714938,25.833186337973885
830.0,600,32.04766032664879,32.05616863817002,70.94551465948601,94.84850014800298,40.74839940606011,17.42569574511029,44.65548674241197,25.361059413012786
840.0,600,31.97254334486979,31.973289330636913,69.89664981184707,94.60797893504042,39.53864270969843,17.800202184969763,45.03688545968871,25.514443025122265
850.0,600,31.807657700979266,31.80661812657306,70.18725722479506,94.59174705925741,39.37320860784865,17.855490947715,44.60795506518565,25.39397618316773
860.0,600,31.774678789183394,31.775869206398458,70.36726285201956,94.39515058520465,39.405336827903106,18.035165275134442,44.45964595503015,25.19856709866589
870.0,600,32.041463265171195,32.04626357288971,70.39935953126202,94.29964540710256,39.65808210895929,17.961862687448672,45.12134182986603,25.424566434410767
880.0,600,32.41197582083862,32.416612884833604,71.18786755189241,94.29905048242414,40.242686332530525,18.76836474080692,44.41821254353546,26.21863966648159
890.0,600,30.914016914067997,30.924467967967853,71.05952712307531,92.68694759521304,40.257284212880236,17.45776973923354,42.69121009867596,23.249803605482242
900.0,600,28.95037491414394,28.928916434627972,70.79666802591127,89.1174902586727,43.18302879933041,12.914337576572725,42.63217505372613,17.071958226946492
910.0,600,34.27876698032778,34.289515623046206,72.98714079718006,94.15921355635564,45.52054922640468,19.542231502228532,45.96336580462225,26.08892138805568
920.0,600,33.5323953918389,33.527701697528514,69.42662848635202,93.61839396783758,41.566016388905894,19.89645235135341,45.451867264023136,27.215245563073154
930.0,600,32.86284654673413,32.861483278403185,70.55805314000014,92.86984745669676,41.156286098174434,19.451334522143938,44.558663429108925,26.285102137509224
940.0,600,32.22309327028001,32.22483850570186,69.4209564202636,92.77348213898229,40.026986041122946,18.893987961382493,45.046252100606566,24.925146978008037
950.0,600,31.8319676069876,31.833981089332706,69.35634517737529,92.55085467293692,39.33680781203944,18.79369424109943,44.68343021802546,24.513938156786057
960.0,600,31.33204586119978,31.3311126598294,69.34310926384838,91.99162771325359,38.52490508023658,18.894780164070543,44.07475106005617,23.833747140435833
970.0,600,31.48159485373566,31.484945864875783,69.46388145307421,91.98686732174572,38.473949846734264,18.762702336687003,44.82078690378894,23.86894032773243
980.0,600,31.555749290184686,31.56322187542236,71.06638276744181,91.74364137783351,38.77559556961293,19.368747800293836,44.27172658647818,23.806927204353794
990.0,600,30.961031173434385,30.95769186448066,69.36610847374928,91.45459159349413,37.66880121106332,18.33216660000911,45.174512384280995,22.668644498384108
1000.0,600,30.67941304984861,30.678212135184463,69.18965584639017,91.29175428798857,37.33627276289049,18.043349269094268,45.21209243360082,22.125937733808865
1010.0,600,30.407672898478054,30.411425396349003,69.77528492518341,91.07749545382991,37.50694533575227,17.034209275262455,44.775440249793476,22.314096733104005
1020.0,600,30.065555943783572,30.06806736843072,69.31050774690878,90.72961876603806,36.60928027208003,16.442063924256033,45.3229059551579,21.88797362364032
1030.0,600,30.146529390075617,30.14469812047942,69.50353136837222,90.54617973710302,36.96706180462297,17.361227826627545,44.67569796950313,21.582129959548812
1040.0,600,30.052102750298,30.045728541860573,69.95808476388031,90.46526002644833,37.10110678254683,18.267719529065857,43.327798800990934,21.51178588858839
1050.0,600,30.183240883402057,30.187064964041845,67.98917827832629,90.60221728772153,36.371038603090284,17.127445806956334,45.407773471001455,21.826705652560147
1060.0,600,29.69026925138582,29.694454788964183,68.38443237856599,90.5180208436211,36.3741643326884,16.85517686957375,44.37636229903256,21.155373504248566
1070.0,600,29.310076260889012,29.30800346104629,68.31395865765651,90.40121607353827,35.79479502685701,16.236666077353785,44.254556531498295,20.95428740784697
1080.0,600,30.021001655877335,30.022352958426108,69.07880127019234,90.01344631823852,37.124879641069384,18.023731174101332,43.32481090928295,21.610584899055684
1090.0,600,29.013965156356207,29.01790771752229,68.40659891380956,89.91005566291436,35.64132964959846,16.219729744781596,44.09187485101271,20.10292638003204
1100.0,600,28.940110079246715,28.94429087305413,68.34630819693957,90.00153951837545,35.38260861984841,16.13525607441854,44.13386217628949,20.108713446430425
1110.0,600,28.8030726362126,28.800626139900743,67.66377774329798,90.00030495767719,35.18138518355144,16.02745843314792,43.97668738187388,20.026759546277177
1120.0,600,28.680770193509513,28.68401736125191,68.4463912188918,89.91023702951519,35.255660585564605,15.955224260471056,43.15808008375085,20.35411584425154
1130.0,383,29.19801736656752,29.175206199185297,68.07169996154506,89.75443199731868,35.942758415383,16.30795499416858,43.865575764921935,20.67578029179657
